month_year,loyalty_number,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,start_of_the_year,start_of_the_quarter,start_of_the_month
04-2017,210236,2017,4,4,7672,7672.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,231614,2017,4,4,2560,2560.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,248011,2017,4,4,6856,6856.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,328213,2017,4,4,6924,6924.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,411690,2017,4,4,3432,3432.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,504919,2017,4,4,3392,3392.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,575571,2017,4,4,3284,3284.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,633135,2017,4,4,4756,4756.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,174044,2017,4,3,4851,4851.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,205087,2017,4,3,4575,4575.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,243005,2017,4,3,3903,3903.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,261468,2017,4,3,5049,5049.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,338838,2017,4,3,3402,3402.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,370066,2017,4,3,6609,6609.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,375722,2017,4,3,7053,7053.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,784490,2017,4,3,2412,2412.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,849425,2017,4,3,2718,2718.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,910576,2017,4,3,2595,2595.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,175711,2017,4,2,2424,2424.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,240760,2017,4,2,4520,4520.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,666301,2017,4,2,3628,3628.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,817573,2017,4,2,3586,3586.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,982715,2017,4,2,3070,3070.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,618329,2017,4,2,4370,4370.0,416,75,2017-01-01,2017-04-01,2017-04-01
04-2017,442792,2017,4,2,2524,2524.0,539,97,2017-01-01,2017-04-01,2017-04-01
04-2017,221328,2017,4,1,817,817.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,422276,2017,4,1,2049,2049.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,518249,2017,4,1,2250,2250.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,540756,2017,4,1,1088,1088.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,566767,2017,4,1,1730,1730.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,801882,2017,4,1,1150,1150.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,868037,2017,4,1,1728,1728.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,932513,2017,4,1,1224,1224.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,967253,2017,4,1,1515,1515.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,168641,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,174923,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,232533,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,243557,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,243741,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,248445,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,255951,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,265612,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,277826,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,317205,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,358948,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,368523,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,407404,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,409051,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,434679,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,441719,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,443557,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,452439,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,492883,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,493088,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,515023,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,539144,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,542208,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,558469,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,572066,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,600651,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,606877,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,622975,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,645078,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,648432,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,659481,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,664183,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,670686,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,673872,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,681328,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,691365,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,737534,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,743510,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,747681,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,815603,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,819498,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,835508,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,844348,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,847579,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,872752,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,907252,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,947026,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,954454,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,992476,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,996159,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,385638,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,822811,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,251436,2017,4,4,5324,5324.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,523272,2017,4,4,4720,4720.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,985183,2017,4,4,2680,2680.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,832566,2017,4,4,8848,8848.0,554,100,2017-01-01,2017-04-01,2017-04-01
04-2017,580212,2017,4,4,3576,3576.0,527,95,2017-01-01,2017-04-01,2017-04-01
04-2017,160250,2017,4,3,7296,7296.0,355,64,2017-01-01,2017-04-01,2017-04-01
04-2017,397248,2017,4,3,3165,3165.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,808392,2017,4,3,5154,5154.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,919889,2017,4,3,4965,4965.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,979309,2017,4,3,4962,4962.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,990268,2017,4,3,2751,2751.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,112226,2017,4,2,4642,4642.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,175954,2017,4,2,1074,1074.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,198167,2017,4,2,1804,1804.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,301155,2017,4,2,2158,2158.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,404434,2017,4,2,3738,3738.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,462077,2017,4,2,2816,2816.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,494600,2017,4,2,3194,3194.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,605803,2017,4,2,2188,2188.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,865977,2017,4,2,3866,3866.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,150134,2017,4,1,1341,1341.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,494213,2017,4,1,1320,1320.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,676376,2017,4,1,729,729.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,893266,2017,4,1,2255,2255.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,325778,2017,4,1,1283,1283.0,406,73,2017-01-01,2017-04-01,2017-04-01
04-2017,149430,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,108462,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,162489,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,272476,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,282759,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,298539,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,323776,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,326703,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,329730,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,348994,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,362293,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,394248,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,420204,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,420590,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,434620,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,463230,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,473622,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,504525,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,539941,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,556982,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,573347,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,574081,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,608850,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,617484,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,638740,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,646038,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,663098,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,687748,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,708892,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,724435,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,745738,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,822901,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,845488,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,897229,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,247391,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,929871,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,933968,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,942194,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,953431,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,992985,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,436705,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,448823,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,623222,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,946645,2017,4,0,0,0.0,388,70,2017-01-01,2017-04-01,2017-04-01
04-2017,263763,2017,4,4,5652,5652.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,395525,2017,4,4,7464,7464.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,415077,2017,4,4,3712,3712.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,430813,2017,4,4,2564,2564.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,579005,2017,4,4,7752,7752.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,596179,2017,4,4,5808,5808.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,612140,2017,4,4,9112,9112.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,613747,2017,4,4,8976,8976.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,802305,2017,4,4,4456,4456.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,824259,2017,4,4,7688,7688.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,226360,2017,4,3,3687,3687.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,255108,2017,4,3,1770,1770.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,569188,2017,4,3,6414,6414.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,758656,2017,4,3,5355,5355.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,106838,2017,4,2,4914,4914.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,117169,2017,4,2,2638,2638.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,512471,2017,4,2,3380,3380.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,560149,2017,4,2,3062,3062.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,586891,2017,4,2,4254,4254.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,590936,2017,4,2,2664,2664.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,616875,2017,4,2,1018,1018.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,832597,2017,4,2,1024,1024.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,966059,2017,4,2,2658,2658.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,967883,2017,4,2,1914,1914.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,696486,2017,4,2,1832,1832.0,545,98,2017-01-01,2017-04-01,2017-04-01
04-2017,955463,2017,4,2,3580,3580.0,475,86,2017-01-01,2017-04-01,2017-04-01
04-2017,166535,2017,4,1,2320,2320.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,513081,2017,4,1,1657,1657.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,633787,2017,4,1,2280,2280.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,352581,2017,4,1,937,937.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,317683,2017,4,1,1531,1531.0,429,77,2017-01-01,2017-04-01,2017-04-01
04-2017,153645,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,153760,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,107835,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,135635,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,149174,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,188559,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,189914,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,371675,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,393130,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,395168,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,421310,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,426414,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,450802,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,453494,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,487807,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,516301,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,538341,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,562677,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,565805,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,567210,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,615244,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,630209,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,635517,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,636749,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,654086,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,671368,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,671628,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,676289,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
04-2017,748810,2017,4,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-04-01
