month_year,loyalty_number,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,start_of_the_year,start_of_the_quarter,start_of_the_month
06-2017,415896,2017,6,6,9306,9306.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,979053,2017,6,6,9090,9090.0,797,143,2017-01-01,2017-04-01,2017-06-01
06-2017,273144,2017,6,5,9440,9440.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,333825,2017,6,5,12095,12095.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,355331,2017,6,5,9570,9570.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,580356,2017,6,5,11265,11265.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,815643,2017,6,5,10850,10850.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,921375,2017,6,5,4115,4115.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,147241,2017,6,4,3008,3008.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,175104,2017,6,4,5024,5024.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,325382,2017,6,4,3196,3196.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,399982,2017,6,4,9328,9328.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,580586,2017,6,4,6696,6696.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,618300,2017,6,4,3088,3088.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,694828,2017,6,4,6928,6928.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,813439,2017,6,4,7124,7124.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,874104,2017,6,4,4544,4544.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,135878,2017,6,3,2913,2913.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,155488,2017,6,3,2466,2466.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,201709,2017,6,3,7341,7341.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,456167,2017,6,3,5874,5874.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,574726,2017,6,3,2016,2016.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,607489,2017,6,3,5106,5106.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,641586,2017,6,3,3333,3333.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,738652,2017,6,3,2496,2496.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,851549,2017,6,3,3069,3069.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,864324,2017,6,3,3546,3546.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,967637,2017,6,3,5811,5811.0,778,140,2017-01-01,2017-04-01,2017-06-01
06-2017,841373,2017,6,2,3038,3038.0,479,86,2017-01-01,2017-04-01,2017-06-01
06-2017,372111,2017,6,2,3380,3380.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,424812,2017,6,2,4942,4942.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,522935,2017,6,2,1388,1388.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,570469,2017,6,2,1372,1372.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,645600,2017,6,2,4816,4816.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,662166,2017,6,2,1666,1666.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,866604,2017,6,2,1974,1974.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,998072,2017,6,2,3698,3698.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,224664,2017,6,1,715,715.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,420738,2017,6,1,985,985.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,438263,2017,6,1,2252,2252.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,492433,2017,6,1,1147,1147.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,627778,2017,6,1,2114,2114.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,796541,2017,6,1,1435,1435.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,868767,2017,6,1,767,767.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,530098,2017,6,1,1736,1736.0,833,150,2017-01-01,2017-04-01,2017-06-01
06-2017,835566,2017,6,1,1271,1271.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,101148,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,114219,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,127496,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,161574,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,195684,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,205465,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,226511,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,246399,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,263402,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,288164,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,295064,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,302066,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,326703,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,329056,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,346225,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,414033,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,451042,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,485300,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,519984,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,543449,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,594028,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,599145,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,609667,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,641827,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,660554,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,673054,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,679414,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,687525,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,698395,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,706876,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,720465,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,789465,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,851979,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,874938,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,894340,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,932526,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,952696,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,983393,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,479724,2017,6,0,0,0.0,737,133,2017-01-01,2017-04-01,2017-06-01
06-2017,134397,2017,6,0,0,0.0,607,109,2017-01-01,2017-04-01,2017-06-01
06-2017,413459,2017,6,6,11952,11952.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,421748,2017,6,6,8250,8250.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,454668,2017,6,6,6354,6354.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,837360,2017,6,6,10380,10380.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,225327,2017,6,5,10570,10570.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,265383,2017,6,5,4375,4375.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,577726,2017,6,5,6695,6695.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,977303,2017,6,5,8955,8955.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,330783,2017,6,5,3855,3855.0,588,106,2017-01-01,2017-04-01,2017-06-01
06-2017,605320,2017,6,5,8230,8230.0,510,92,2017-01-01,2017-04-01,2017-06-01
06-2017,148299,2017,6,5,5600,5600.0,771,139,2017-01-01,2017-04-01,2017-06-01
06-2017,302056,2017,6,4,8056,8056.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,448896,2017,6,4,5560,5560.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,528226,2017,6,4,7568,7568.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,530666,2017,6,4,3952,3952.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,653973,2017,6,4,7336,7336.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,950356,2017,6,4,2276,2276.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,292084,2017,6,4,5772,5772.0,766,138,2017-01-01,2017-04-01,2017-06-01
06-2017,188006,2017,6,3,3192,3192.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,238442,2017,6,3,3408,3408.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,551248,2017,6,3,1782,1782.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,565602,2017,6,3,6594,6594.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,841916,2017,6,3,2925,2925.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,543901,2017,6,3,2913,2913.0,538,97,2017-01-01,2017-04-01,2017-06-01
06-2017,239027,2017,6,3,3156,3156.0,701,126,2017-01-01,2017-04-01,2017-06-01
06-2017,937065,2017,6,3,2010,2010.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,161103,2017,6,2,2204,2204.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,740577,2017,6,2,1492,1492.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,905909,2017,6,2,1072,1072.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,123344,2017,6,2,2742,2742.0,662,119,2017-01-01,2017-04-01,2017-06-01
06-2017,279409,2017,6,1,2044,2044.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,281926,2017,6,1,837,837.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,287198,2017,6,1,1560,1560.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,501131,2017,6,1,616,616.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,513820,2017,6,1,2249,2249.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,516544,2017,6,1,618,618.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,754539,2017,6,1,703,703.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,922210,2017,6,1,883,883.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,286883,2017,6,1,630,630.0,734,132,2017-01-01,2017-04-01,2017-06-01
06-2017,401956,2017,6,1,537,537.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,744860,2017,6,1,1404,1404.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,123151,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,139932,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,167578,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,190716,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,202108,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,251223,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,257862,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,262526,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,267951,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,311556,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,324557,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,365208,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,422204,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,430197,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,451839,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,474383,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,490250,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,501217,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,509060,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,534649,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,558040,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,571845,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,575821,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,585495,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,616162,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,620480,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,621583,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,627670,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,632951,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
06-2017,647684,2017,6,0,0,0.0,0,0,2017-01-01,2017-04-01,2017-06-01
