loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
106946,Canada,British Columbia,Vancouver,Male,Bachelor,55446.0,Married,Star,Standard,,78216.0,50.0
109517,Canada,Ontario,Toronto,Female,College,,Divorced,Nova,Standard,,45001.0,34.0
111912,Canada,Ontario,Toronto,Male,Bachelor,77443.0,Divorced,Aurora,Standard,,77676.0,47.0
113831,Canada,Ontario,Toronto,Male,Bachelor,47701.0,Married,Nova,Standard,,72210.0,57.0
118514,Canada,Ontario,Toronto,Female,Bachelor,61008.0,Married,Aurora,Standard,,16759.0,8.0
120192,Canada,British Columbia,Vancouver,Female,Bachelor,65324.0,Married,Aurora,Standard,,55642.0,39.0
120799,Canada,Ontario,Thunder Bay,Male,College,,Married,Star,Standard,,28399.0,22.0
137040,Canada,Ontario,Toronto,Male,Bachelor,99748.0,Single,Star,Standard,,55933.0,31.0
166037,Canada,British Columbia,West Vancouver,Male,Bachelor,68031.0,Divorced,Aurora,Standard,,51251.0,40.0
173666,Canada,British Columbia,Victoria,Male,Bachelor,86039.0,Divorced,Aurora,Standard,,24813.0,22.0
178864,Canada,Alberta,Calgary,Female,College,,Single,Star,Standard,,52491.0,32.0
196583,Canada,Ontario,Toronto,Male,Bachelor,60366.0,Single,Nova,Standard,,52385.0,44.0
206119,Canada,British Columbia,Vancouver,Male,College,,Single,Nova,Standard,,40175.0,31.0
206466,Canada,Ontario,Toronto,Female,Bachelor,101933.0,Married,Nova,2018 Promotion,,51042.0,22.0
219747,Canada,British Columbia,Whistler,Male,College,,Single,Nova,Standard,,49193.0,34.0
232290,Canada,Alberta,Calgary,Female,Bachelor,50298.0,Married,Star,Standard,,37915.0,32.0
237858,Canada,Ontario,Toronto,Male,Bachelor,57510.0,Single,Star,2018 Promotion,,112956.0,48.0
254860,Canada,British Columbia,Dawson Creek,Male,Bachelor,58314.0,Single,Nova,Standard,,42440.0,33.0
257440,Canada,Quebec,Quebec City,Female,Bachelor,87965.0,Married,Star,Standard,,27743.0,17.0
257981,Canada,British Columbia,Whistler,Female,Bachelor,61275.0,Married,Nova,Standard,,69111.0,42.0
282678,Canada,British Columbia,Vancouver,Male,Bachelor,57974.0,Single,Aurora,Standard,,64861.0,34.0
325498,Canada,Quebec,Hull,Female,College,,Single,Star,Standard,,50506.0,37.0
330040,Canada,Ontario,Trenton,Male,Bachelor,55207.0,Single,Nova,Standard,,59914.0,44.0
343051,Canada,Quebec,Tremblant,Male,Bachelor,63561.0,Married,Nova,2018 Promotion,,123348.0,61.0
349490,Canada,Quebec,Montreal,Male,Master,75891.0,Divorced,Aurora,Standard,,55891.0,31.0
355669,Canada,Ontario,Toronto,Male,College,,Single,Star,Standard,,40521.0,28.0
361109,Canada,Nova Scotia,Halifax,Male,Bachelor,75214.0,Married,Nova,Standard,,61997.0,40.0
394715,Canada,Ontario,Toronto,Female,College,,Married,Nova,Standard,,69518.0,49.0
421580,Canada,Saskatchewan,Regina,Male,Bachelor,52235.0,Married,Nova,Standard,,52339.0,38.0
453887,Canada,Newfoundland,St. John's,Male,Bachelor,90969.0,Married,Nova,Standard,,61627.0,34.0
467631,Canada,Ontario,Toronto,Male,Bachelor,89302.0,Divorced,Aurora,Standard,,77415.0,59.0
470334,Canada,Quebec,Montreal,Female,Doctor,251507.0,Single,Nova,Standard,,57214.0,33.0
486197,Canada,Ontario,Toronto,Male,Bachelor,97127.0,Single,Star,2018 Promotion,,105906.0,44.0
490479,Canada,Quebec,Montreal,Female,College,,Single,Star,Standard,,71954.0,50.0
520321,Canada,Ontario,London,Female,Doctor,237245.0,Married,Star,Standard,,0.0,0.0
547561,Canada,Ontario,Toronto,Male,College,,Single,Star,Standard,,53131.0,36.0
571603,Canada,British Columbia,West Vancouver,Female,College,,Divorced,Nova,2018 Promotion,,47253.0,35.0
594598,Canada,Ontario,Kingston,Female,Bachelor,23265.0,Divorced,Aurora,2018 Promotion,,94029.0,46.0
