loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
107519,Canada,Quebec,Hull,Female,Bachelor,71792.0,Married,Aurora,2018 Promotion,,140145.0,60.0
111507,Canada,Quebec,Montreal,Female,Bachelor,58405.0,Married,Star,Standard,,40465.0,29.0
118320,Canada,Ontario,Kingston,Female,Bachelor,78268.0,Married,Nova,Standard,,60927.0,40.0
118864,Canada,Ontario,Toronto,Female,College,,Married,Star,Standard,,52921.0,38.0
121935,Canada,Yukon,Whitehorse,Female,Doctor,299560.0,Married,Star,Standard,,31699.0,25.0
131098,Canada,Manitoba,Winnipeg,Male,Bachelor,54851.0,Married,Nova,Standard,,44175.0,33.0
148322,Canada,British Columbia,Vancouver,Female,Bachelor,54188.0,Married,Nova,Standard,,30229.0,18.0
170027,Canada,Ontario,Toronto,Female,Bachelor,60890.0,Married,Aurora,Standard,,65396.0,47.0
172444,Canada,Ontario,Ottawa,Male,Bachelor,70746.0,Single,Nova,Standard,,50006.0,36.0
175488,Canada,Quebec,Montreal,Male,College,,Single,Nova,Standard,,62211.0,40.0
197890,Canada,British Columbia,Vancouver,Male,Bachelor,100571.0,Married,Aurora,Standard,,61973.0,47.0
203550,Canada,Quebec,Tremblant,Male,Bachelor,53610.0,Married,Star,Standard,,43641.0,30.0
215294,Canada,Alberta,Edmonton,Female,Bachelor,97030.0,Divorced,Star,Standard,,0.0,0.0
225067,Canada,Ontario,Toronto,Male,College,,Married,Star,Standard,,39952.0,32.0
225088,Canada,British Columbia,Vancouver,Male,Bachelor,97991.0,Married,Star,Standard,,48849.0,32.0
228273,Canada,Ontario,Toronto,Male,Bachelor,47620.0,Married,Nova,Standard,,57748.0,50.0
235872,Canada,Ontario,Toronto,Female,Doctor,89057.0,Single,Star,Standard,,56477.0,44.0
246421,Canada,British Columbia,Dawson Creek,Female,Bachelor,91784.0,Married,Aurora,2018 Promotion,,210903.0,87.0
255740,Canada,Quebec,Montreal,Male,Bachelor,100809.0,Married,Nova,Standard,,51496.0,34.0
257194,Canada,British Columbia,Vancouver,Female,Bachelor,79034.0,Single,Nova,Standard,,0.0,0.0
258296,Canada,Quebec,Montreal,Female,Bachelor,77037.0,Married,Aurora,Standard,,30151.0,19.0
260622,Canada,Quebec,Quebec City,Female,Bachelor,94122.0,Married,Nova,Standard,,33385.0,27.0
266757,Canada,Newfoundland,St. John's,Female,Bachelor,77019.0,Single,Aurora,Standard,,52696.0,34.0
274817,Canada,Ontario,Sudbury,Female,College,,Single,Aurora,Standard,,60531.0,36.0
276931,Canada,Quebec,Quebec City,Female,College,,Single,Nova,Standard,,0.0,0.0
297167,Canada,British Columbia,Whistler,Male,Bachelor,63035.0,Married,Nova,2018 Promotion,,65790.0,23.0
308798,Canada,Ontario,Toronto,Male,Bachelor,102188.0,Divorced,Star,Standard,,43064.0,31.0
326988,Canada,Quebec,Montreal,Male,Bachelor,95723.0,Single,Nova,Standard,,58268.0,35.0
327098,Canada,British Columbia,Vancouver,Female,Bachelor,67755.0,Married,Aurora,Standard,,61104.0,42.0
341169,Canada,Quebec,Montreal,Female,College,,Single,Star,Standard,,59713.0,45.0
348681,Canada,British Columbia,Kelowna,Female,College,,Single,Nova,Standard,,66030.0,44.0
373204,Canada,British Columbia,Vancouver,Female,Bachelor,84187.0,Single,Nova,Standard,,5410.0,5.0
375056,Canada,Ontario,Trenton,Male,High School or Below,45493.0,Married,Star,Standard,,17644.0,12.0
