loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
113861,Canada,Quebec,Montreal,Female,College,,Married,Star,Standard,,34699.0,26.0
121183,Canada,Quebec,Quebec City,Female,Bachelor,53016.0,Single,Star,Standard,,79828.0,55.0
138896,Canada,Ontario,Ottawa,Female,Bachelor,77116.0,Married,Nova,Standard,,55600.0,39.0
140381,Canada,British Columbia,Vancouver,Female,Master,112860.0,Divorced,Nova,Standard,,88034.0,51.0
168290,Canada,Ontario,Toronto,Female,Bachelor,51955.0,Married,Aurora,Standard,,71676.0,45.0
215089,Canada,Newfoundland,St. John's,Male,Bachelor,58831.0,Single,Nova,Standard,,67069.0,43.0
242387,Canada,Ontario,Sudbury,Male,Doctor,355375.0,Married,Star,2018 Promotion,,134052.0,48.0
271357,Canada,British Columbia,Vancouver,Female,College,,Single,Aurora,Standard,,35295.0,28.0
273070,Canada,Ontario,Toronto,Female,Bachelor,65099.0,Divorced,Nova,Standard,,68944.0,46.0
305287,Canada,British Columbia,Victoria,Female,Bachelor,89076.0,Married,Star,Standard,,5088.0,3.0
308214,Canada,Ontario,Toronto,Male,Bachelor,54940.0,Married,Aurora,Standard,,52973.0,43.0
336724,Canada,Ontario,Toronto,Female,Bachelor,94323.0,Married,Nova,Standard,,48489.0,39.0
343218,Canada,British Columbia,Vancouver,Male,High School or Below,50636.0,Married,Star,Standard,,62889.0,35.0
344570,Canada,Ontario,Trenton,Female,College,,Single,Aurora,Standard,,17173.0,12.0
352617,Canada,Alberta,Calgary,Male,Bachelor,89062.0,Single,Nova,Standard,,42733.0,26.0
375162,Canada,New Brunswick,Moncton,Male,Bachelor,71101.0,Married,Nova,Standard,,0.0,0.0
391313,Canada,Alberta,Peace River,Female,Bachelor,58314.0,Single,Aurora,Standard,,23932.0,22.0
405735,Canada,Alberta,Edmonton,Male,Bachelor,72792.0,Married,Star,Standard,,47095.0,31.0
411242,Canada,Ontario,Toronto,Female,College,,Married,Star,Standard,,0.0,0.0
412402,Canada,New Brunswick,Fredericton,Female,Bachelor,54243.0,Single,Star,Standard,,71218.0,42.0
421744,Canada,Quebec,Hull,Female,College,,Married,Star,Standard,,54555.0,35.0
422989,Canada,British Columbia,Vancouver,Female,Bachelor,60917.0,Married,Star,Standard,,13652.0,13.0
474027,Canada,Ontario,Ottawa,Female,Bachelor,89781.0,Married,Star,Standard,,2931.0,3.0
476371,Canada,Ontario,Toronto,Male,Bachelor,100827.0,Married,Nova,Standard,,18079.0,12.0
481076,Canada,British Columbia,Vancouver,Male,Bachelor,78976.0,Married,Nova,Standard,,55001.0,36.0
482922,Canada,British Columbia,Vancouver,Male,Bachelor,50149.0,Married,Aurora,2018 Promotion,,134880.0,68.0
