loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
113864,Canada,Saskatchewan,Regina,Male,Bachelor,79913.0,Married,Star,Standard,,17202.0,16.0
114553,Canada,British Columbia,Dawson Creek,Male,Bachelor,47987.0,Divorced,Nova,Standard,,61201.0,41.0
146090,Canada,Quebec,Quebec City,Female,Bachelor,76622.0,Divorced,Nova,2018 Promotion,,8130.0,8.0
155791,Canada,Ontario,Toronto,Female,Bachelor,85468.0,Married,Star,Standard,,33012.0,22.0
176521,Canada,Quebec,Quebec City,Female,Bachelor,87122.0,Married,Aurora,2018 Promotion,,96132.0,59.0
188318,Canada,Ontario,Kingston,Female,Bachelor,53467.0,Married,Star,Standard,,60343.0,39.0
189817,Canada,British Columbia,Vancouver,Male,Bachelor,61402.0,Divorced,Star,Standard,,59957.0,41.0
191057,Canada,Quebec,Tremblant,Female,Bachelor,52236.0,Married,Nova,Standard,,32940.0,26.0
198010,Canada,British Columbia,Dawson Creek,Female,College,,Single,Aurora,Standard,,61513.0,48.0
205505,Canada,Newfoundland,St. John's,Male,College,,Divorced,Nova,Standard,,64164.0,44.0
213934,Canada,British Columbia,Vancouver,Male,Bachelor,49588.0,Divorced,Aurora,Standard,,52919.0,36.0
221469,Canada,Quebec,Hull,Male,Bachelor,70482.0,Married,Nova,Standard,,50165.0,42.0
228469,Canada,Nova Scotia,Halifax,Male,Bachelor,63605.0,Married,Nova,Standard,,0.0,0.0
245575,Canada,Newfoundland,St. John's,Male,Bachelor,78573.0,Divorced,Star,Standard,,17774.0,15.0
295795,Canada,Manitoba,Winnipeg,Female,Doctor,213168.0,Married,Aurora,Standard,,0.0,0.0
301152,Canada,Nova Scotia,Halifax,Female,Bachelor,49390.0,Married,Star,Standard,,28181.0,17.0
310534,Canada,Ontario,Toronto,Male,Bachelor,92025.0,Single,Nova,Standard,,69228.0,42.0
337488,Canada,Quebec,Montreal,Male,Bachelor,77358.0,Married,Star,Standard,,44438.0,36.0
339573,Canada,Ontario,Toronto,Male,Bachelor,103494.0,Married,Aurora,Standard,,64753.0,44.0
345840,Canada,Quebec,Montreal,Female,College,,Divorced,Star,Standard,,11031.0,14.0
347987,Canada,British Columbia,Vancouver,Male,Bachelor,84294.0,Divorced,Nova,Standard,,21900.0,11.0
348065,Canada,British Columbia,Vancouver,Male,Doctor,131880.0,Married,Nova,Standard,,67751.0,39.0
