loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
105251,Canada,Ontario,Trenton,Female,Bachelor,80885.0,Married,Star,Standard,,20733.0,10.0
105841,Canada,British Columbia,Whistler,Male,Bachelor,55130.0,Married,Star,2018 Promotion,,138183.0,61.0
114021,Canada,British Columbia,Dawson Creek,Female,Bachelor,88044.0,Married,Star,Standard,,69349.0,46.0
122561,Canada,Ontario,Toronto,Male,Bachelor,97537.0,Divorced,Nova,Standard,,20844.0,13.0
130439,Canada,Alberta,Edmonton,Female,Bachelor,84922.0,Married,Star,Standard,,15144.0,12.0
132563,Canada,Quebec,Tremblant,Male,College,,Single,Nova,2018 Promotion,,0.0,0.0
132928,Canada,British Columbia,Whistler,Male,Bachelor,70881.0,Married,Star,Standard,,2497.0,3.0
142190,Canada,Ontario,Thunder Bay,Female,Bachelor,68279.0,Married,Aurora,Standard,,57179.0,39.0
145017,Canada,Quebec,Montreal,Female,Bachelor,72936.0,Divorced,Nova,Standard,,12145.0,6.0
152305,Canada,Alberta,Banff,Female,Bachelor,88493.0,Married,Nova,Standard,,65168.0,43.0
167335,Canada,Quebec,Quebec City,Male,Bachelor,82444.0,Married,Star,Standard,,52952.0,41.0
191780,Canada,Manitoba,Winnipeg,Male,High School or Below,54473.0,Married,Nova,Standard,,0.0,0.0
199358,Canada,Alberta,Banff,Female,College,,Single,Star,Standard,,11730.0,6.0
205785,Canada,Ontario,Toronto,Male,Master,128118.0,Married,Star,Standard,,51158.0,35.0
217124,Canada,Ontario,Trenton,Male,Bachelor,90620.0,Married,Star,Standard,,57365.0,29.0
221361,Canada,Quebec,Montreal,Male,High School or Below,42867.0,Married,Aurora,Standard,,0.0,0.0
243557,Canada,Ontario,Toronto,Male,College,,Single,Nova,Standard,,49393.0,32.0
258141,Canada,British Columbia,Vancouver,Male,Bachelor,103430.0,Single,Aurora,Standard,,2125.0,2.0
259110,Canada,British Columbia,Vancouver,Female,College,,Single,Aurora,Standard,,68398.0,44.0
261423,Canada,Ontario,Trenton,Male,Bachelor,78170.0,Married,Nova,Standard,,55130.0,43.0
270730,Canada,Quebec,Montreal,Male,Bachelor,101168.0,Married,Aurora,Standard,,72833.0,43.0
275637,Canada,British Columbia,Whistler,Male,Bachelor,78881.0,Divorced,Aurora,Standard,,67709.0,41.0
282854,Canada,Ontario,Toronto,Male,Bachelor,59834.0,Married,Star,Standard,,62146.0,43.0
295884,Canada,Nova Scotia,Halifax,Male,College,,Single,Nova,Standard,,52389.0,45.0
332983,Canada,Quebec,Quebec City,Male,Bachelor,101171.0,Married,Star,2018 Promotion,,44940.0,27.0
336341,Canada,Ontario,Toronto,Female,College,,Single,Star,Standard,,56945.0,35.0
349220,Canada,Quebec,Montreal,Male,Bachelor,77868.0,Married,Aurora,Standard,,65814.0,38.0
400513,Canada,Quebec,Montreal,Male,Bachelor,46548.0,Single,Aurora,Standard,,0.0,0.0
450665,Canada,Alberta,Edmonton,Female,Bachelor,58299.0,Married,Aurora,Standard,,52104.0,33.0
462077,Canada,Alberta,Edmonton,Male,Bachelor,100023.0,Married,Aurora,Standard,,38810.0,30.0
502952,Canada,Ontario,Sudbury,Male,Bachelor,58143.0,Married,Star,Standard,,16937.0,10.0
534649,Canada,Manitoba,Winnipeg,Male,Doctor,198691.0,Divorced,Star,Standard,,23682.0,24.0
551975,Canada,Ontario,Toronto,Female,Bachelor,100721.0,Married,Star,Standard,,67351.0,54.0
554888,Canada,Quebec,Montreal,Male,Bachelor,96564.0,Divorced,Aurora,Standard,,23106.0,14.0
561251,Canada,British Columbia,Dawson Creek,Female,Bachelor,79536.0,Married,Star,Standard,,68755.0,45.0
561481,Canada,Quebec,Montreal,Female,College,,Single,Star,Standard,,58961.0,44.0
563142,Canada,Alberta,Calgary,Female,College,,Married,Star,Standard,,3656.0,2.0
565227,Canada,Quebec,Montreal,Female,Master,86311.0,Married,Nova,Standard,,0.0,0.0
578234,Canada,Ontario,Toronto,Male,Bachelor,76622.0,Divorced,Star,Standard,,17420.0,11.0
597209,Canada,New Brunswick,Fredericton,Male,Master,75327.0,Married,Nova,Standard,,77039.0,45.0
617326,Canada,Quebec,Montreal,Male,Doctor,297762.0,Married,Nova,Standard,,54704.0,37.0
630711,Canada,New Brunswick,Fredericton,Female,Bachelor,77696.0,Married,Aurora,Standard,,55539.0,30.0
