loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
101876,Canada,Quebec,Quebec City,Male,College,,Single,Aurora,Standard,,18264.0,12.0
129409,Canada,Quebec,Quebec City,Male,Bachelor,64417.0,Single,Nova,2018 Promotion,,107613.0,41.0
162155,Canada,Alberta,Peace River,Female,College,,Single,Aurora,Standard,,0.0,0.0
187758,Canada,Ontario,Trenton,Male,Bachelor,48278.0,Married,Nova,2018 Promotion,,71400.0,26.0
229075,Canada,British Columbia,Vancouver,Male,Bachelor,48726.0,Married,Nova,Standard,,0.0,0.0
232609,Canada,Alberta,Banff,Female,College,,Single,Nova,Standard,,45876.0,30.0
232907,Canada,Nova Scotia,Halifax,Male,College,,Single,Star,Standard,,7370.0,5.0
254683,Canada,Quebec,Montreal,Male,Bachelor,76592.0,Married,Aurora,Standard,,71074.0,42.0
264050,Canada,British Columbia,Vancouver,Female,Bachelor,61809.0,Married,Nova,Standard,,0.0,0.0
276947,Canada,Ontario,Toronto,Male,Bachelor,29905.0,Married,Aurora,2018 Promotion,,116682.0,39.0
286370,Canada,Manitoba,Winnipeg,Male,College,,Single,Nova,Standard,,77697.0,52.0
292096,Canada,British Columbia,Victoria,Male,Bachelor,86501.0,Married,Star,Standard,,83531.0,51.0
293531,Canada,British Columbia,Dawson Creek,Male,College,,Single,Star,Standard,,45586.0,32.0
305102,Canada,Quebec,Quebec City,Male,College,,Divorced,Nova,Standard,,44116.0,34.0
339800,Canada,Alberta,Banff,Male,Bachelor,97230.0,Single,Star,Standard,,9370.0,10.0
342156,Canada,Ontario,Toronto,Male,Bachelor,60470.0,Divorced,Star,Standard,,61983.0,48.0
346225,Canada,British Columbia,Vancouver,Female,Bachelor,102479.0,Single,Nova,Standard,,38375.0,28.0
352747,Canada,Ontario,Trenton,Male,Bachelor,62748.0,Married,Star,Standard,,20909.0,15.0
354477,Canada,British Columbia,Dawson Creek,Male,College,,Single,Star,Standard,,61259.0,43.0
354730,Canada,New Brunswick,Fredericton,Female,College,,Married,Star,Standard,,36872.0,20.0
364710,Canada,Quebec,Tremblant,Female,Bachelor,50322.0,Married,Aurora,2018 Promotion,,103821.0,65.0
373118,Canada,Manitoba,Winnipeg,Male,College,,Single,Star,Standard,,0.0,0.0
373638,Canada,Ontario,Thunder Bay,Female,Bachelor,92501.0,Divorced,Star,Standard,,18815.0,19.0
379446,Canada,Ontario,Thunder Bay,Female,Bachelor,55593.0,Married,Aurora,Standard,,42387.0,29.0
395189,Canada,Nova Scotia,Halifax,Female,Bachelor,99659.0,Married,Aurora,Standard,,0.0,0.0
399101,Canada,Quebec,Quebec City,Female,Bachelor,74123.0,Divorced,Nova,Standard,,24697.0,13.0
407305,Canada,Ontario,Toronto,Female,Bachelor,74964.0,Married,Nova,Standard,,62059.0,47.0
407924,Canada,Alberta,Banff,Female,College,,Single,Star,Standard,,0.0,0.0
410938,Canada,New Brunswick,Moncton,Female,College,,Single,Nova,Standard,,68424.0,43.0
410982,Canada,Ontario,Trenton,Male,Master,132353.0,Married,Star,Standard,,62797.0,42.0
438383,Canada,Ontario,Kingston,Female,Master,123546.0,Divorced,Aurora,Standard,,36312.0,23.0
